,Date,Approval Index,Strongly Approve,Strongly Disapprove,Total Approve,Total Disapprove,Retail Price of Gasoline (Dollars per Gallon),Month
0,2021-12-27,-28,21,49,40.0,58,3.375,12
1,2021-12-20,-27,20,47,41.0,57,3.395,12
2,2021-12-13,-23,23,46,43.0,56,3.4139999999999997,12
3,2021-12-06,-24,24,48,42.0,56,3.44,12
4,2021-11-29,-25,22,47,42.0,57,3.478,11
5,2021-11-22,-29,20,49,41.0,58,3.4930000000000003,11
6,2021-11-15,-29,20,49,43.0,56,3.495,11
7,2021-11-08,-26,21,47,42.0,57,3.505,11
8,2021-11-01,-26,22,48,42.0,57,3.484,11
9,2021-10-25,-26,22,48,43.0,56,3.4760000000000004,10
10,2021-10-18,-27,21,48,42.0,56,3.4160000000000004,10
11,2021-10-11,-29,21,50,41.0,58,3.36,10
12,2021-10-04,-26,22,48,43.0,56,3.285,10
13,2021-09-27,-29,21,50,40.0,58,3.2710000000000004,9
14,2021-09-20,-19,26,45,43.0,56,3.28,9
15,2021-09-13,-18,27,45,46.0,52,3.262,9
16,2021-09-06,-17,27,44,46.0,52,3.273,9
17,2021-08-30,-21,24,45,45.0,54,3.237,8
18,2021-08-23,-18,27,45,46.0,53,3.2430000000000003,8
19,2021-08-16,-17,26,43,46.0,53,3.272,8
20,2021-08-09,-13,29,42,49.0,49,3.2689999999999997,8
21,2021-08-02,-12,29,41,49.0,49,3.2560000000000002,8
22,2021-07-26,-10,30,40,49.0,49,3.2319999999999998,7
23,2021-07-19,-9,30,39,50.0,48,3.247,7
24,2021-07-12,-9,31,40,49.0,49,3.227,7
25,2021-06-28,-13,28,41,49.0,49,3.185,6
26,2021-06-21,-7,31,38,52.0,46,3.153,6
27,2021-06-14,-13,29,42,49.0,50,3.161,6
28,2021-06-07,-9,32,41,48.0,49,3.128,6
29,2021-05-31,-4,32,36,53.0,45,3.1189999999999998,5
30,2021-05-24,-4,33,37,54.0,43,3.112,5
31,2021-05-17,-10,30,40,51.0,48,3.1180000000000003,5
32,2021-05-10,-9,32,41,50.0,48,3.051,5
33,2021-05-03,-10,31,41,48.0,49,2.9810000000000003,5
34,2021-04-26,-8,31,39,51.0,47,2.9619999999999997,4
35,2021-04-19,-10,30,40,50.0,48,2.945,4
36,2021-04-12,-6,34,40,50.0,48,2.9389999999999996,4
37,2021-04-05,-13,29,42,47.0,51,2.945,4
38,2021-03-29,-10,32,42,49.0,50,2.9410000000000003,3
39,2021-03-22,-10,32,42,49.0,49,2.9539999999999997,3
40,2021-03-15,-4,35,39,52.0,46,2.94,3
41,2021-03-08,-8,33,41,49.0,49,2.8569999999999998,3
42,2021-03-01,-7,33,40,49.0,48,2.7960000000000003,3
43,2021-02-22,-5,34,39,50.0,49,2.717,2
44,2021-02-15,0,36,36,53.0,43,2.588,2
45,2021-02-08,-5,34,39,50.0,47,2.548,2
46,2021-02-01,-5,33,38,49.0,46,2.495,2
47,2021-01-25,-4,36,40,48.0,47,2.478,1
